User	Achievement	Rate
~jediwannabe~	~l4d_achievement_rescue_from_hunter~	57.47
~jediwannabe~	~l4d_achievement_cover_friend_incapped~	45.92
~jediwannabe~	~l4d_achievement_survive_farm~	35.16
~jediwannabe~	~l4d_achievement_rescue_x_from_smoker~	56.08
~jediwannabe~	~l4d_achievement_pounce_x_without_dying~	33.93
~jediwannabe~	~l4d_achievement_make_x_headshots~	68.43
~jediwannabe~	~l4d_achievement_protect_survivors_x_times~	61.77
~jediwannabe~	~l4d_achievement_all_survivors_alive~	53.55
~jediwannabe~	~portal_beat_game~	46.68
~jediwannabe~	~portal_escape_testchambers~	50.19
~jediwannabe~	~portal_get_portalguns~	71.44
~jediwannabe~	~portal_kill_companioncube~	57.26
~jediwannabe~	~portal_hit_turret_with_turret~	45.64
~jediwannabe~	~liquidator~	64.75
~jediwannabe~	~thelongroad~	14.84
~jediwannabe~	~exterminator~	75.15
~jediwannabe~	~sharpshooter~	68.24
~jediwannabe~	~whatisthat~	77.81
~jediwannabe~	~headtrauma~	49.48
~jediwannabe~	~fieldpromotion~	87.40
~jediwannabe~	~pewpew~	79.39
~jediwannabe~	~ispy~	75.60
~jediwannabe~	~surplus~	85.56
~jediwannabe~	~pennypincher~	81.71
~jediwannabe~	~burnbabyburn~	82.05
~jediwannabe~	~heythatsmine~	88.34
~jediwannabe~	~greatballoffire~	69.55
~jediwannabe~	~eradicator~	86.18
~jediwannabe~	~retry~	43.31
~jediwannabe~	~arsenal~	77.43
~jediwannabe~	~overseer~	42.30
~jediwannabe~	~flawlessvictory~	72.62
~jediwannabe~	~kaboom~	68.28
~jediwannabe~	~annihilator~	35.22
~jediwannabe~	~closecall~	77.81
~jediwannabe~	~thenotsofriendlyskies~	53.57
~jediwannabe~	~filthyrich~	64.08
~jediwannabe~	~fulldefense~	31.81
~jediwannabe~	~bootcamp~	69.07
~jediwannabe~	~highvoltage~	59.49
~jediwannabe~	~notsofast~	71.56
~jediwannabe~	~firstblood~	88.97
~jediwannabe~	~happyreturns~	88.29
~jediwannabe~	~yellowbeatsgreen~	83.53
~jediwannabe~	~powerbuilder~	50.20
~jediwannabe~	~pyrrhicvictory~	50.78
~jediwannabe~	~salvagerights~	82.98
~jediwannabe~	~nosale~	67.04
~jediwannabe~	~basedefender~	24.38
~jediwannabe~	~deathfromabove~	54.23
~jediwannabe~	~leadhead~	86.25
~jediwannabe~	~achievement_three_birds_one_stone~	44.63
~jediwannabe~	~achievement_over_achiever~	66.72
~jediwannabe~	~achievement_bread_winner~	40.37
~jediwannabe~	~sp_lvl_creek1_destroy_mg~	13.96
~jediwannabe~	~sp_lvl_cuba_castro_oneshot~	70.64
~jediwannabe~	~sp_win_vorkuta~	70.79
~jediwannabe~	~sp_win_pentagon~	70.09
~jediwannabe~	~sp_win_underwaterbase~	47.90
~jediwannabe~	~sp_lvl_huecity_airsupport~	53.61
~jediwannabe~	~sp_win_kowloon~	57.33
~jediwannabe~	~sp_win_hue_city~	59.25
~jediwannabe~	~sp_win_interrogation_escape~	48.69
~jediwannabe~	~sp_lvl_vorkuta_vehicular~	39.39
~jediwannabe~	~sp_lvl_wmd_relay~	13.52
~jediwannabe~	~sp_win_khe_sanh~	62.19
~jediwannabe~	~sp_lvl_creek1_knifing~	47.74
~jediwannabe~	~sp_win_river~	53.62
~jediwannabe~	~sp_win_flashpoint~	66.56
~jediwannabe~	~sp_win_cuba~	75.95
~jediwannabe~	~sp_win_fullahead~	55.65
~jediwannabe~	~sp_lvl_huecity_dragon~	56.84
~jediwannabe~	~sp_gen_rough_eco~	27.66
~jediwannabe~	~ach_prisonbreak~	33.00
~jediwannabe~	~ach_fatboyparade~	46.99
~jediwannabe~	~ach_nuclearstrike~	43.13
~jediwannabe~	~ach_downloading~	27.41
~jediwannabe~	~ach_alarming~	34.84
~jediwannabe~	~ach_communicationbreakdown~	63.91
~jediwannabe~	~ach_animalmagnetism~	25.68
~jediwannabe~	~ach_classreunion~	24.60
~jediwannabe~	~ach_replayer~	35.43
~jediwannabe~	~ach_deepfreeze~	50.56
~jediwannabe~	~ach_bargeahead~	37.56
~jediwannabe~	~ach_secondtarget~	55.99
~jediwannabe~	~ach_holeintheground~	32.07
~jediwannabe~	~ach_rodgersisrelieved~	41.04
~jediwannabe~	~ach_reunited~	29.93
~jediwannabe~	~ach_bugsinthesystem~	26.44
~jediwannabe~	~ach_wellstocked~	23.83
~jediwannabe~	~ach_gorged~	31.39
~jediwannabe~	~ach_easygoing~	19.45
~jediwannabe~	~ach_terrafirma~	19.72
~jediwannabe~	~com.telltalegames.celebritypoker.allinwithopponents~	64.90
~jediwannabe~	~com.telltalegames.celebritypoker.specialitem.theheavy~	58.83
~jediwannabe~	~com.telltalegames.celebritypoker.threestraightpots~	75.12
~jediwannabe~	~com.telltalegames.celebritypoker.checkpathand~	49.40
~jediwannabe~	~com.telltalegames.celebritypoker.winahand.flush~	65.38
~jediwannabe~	~com.telltalegames.celebritypoker.christmassale.12days~	31.86
~jediwannabe~	~com.telltalegames.celebritypoker.showdown.betterkicker~	72.76
~jediwannabe~	~com.telltalegames.celebritypoker.specialitem.tycho~	53.97
~jediwannabe~	~com.telltalegames.celebritypoker.winagame~	73.94
~jediwannabe~	~com.telltalegames.celebritypoker.summersale.summerof69~	49.03
~jediwannabe~	~com.telltalegames.celebritypoker.specialitem.max~	57.49
~jediwannabe~	~com.telltalegames.celebritypoker.winahand.straight~	71.53
~jediwannabe~	~com.telltalegames.celebritypoker.winahand.fullhouse~	64.14
~jediwannabe~	~achievement_40~	90.99
~jediwannabe~	~achievement_41~	94.01
~jediwannabe~	~achievement_42~	53.08
~jediwannabe~	~achievement_43~	86.80
~jediwannabe~	~achievement_44~	50.63
~jediwannabe~	~achievement_20~	57.92
~jediwannabe~	~achievement_22~	60.55
~jediwannabe~	~achievement_21~	45.42
~jediwannabe~	~achievement_27~	7.97
~jediwannabe~	~achievement_28~	93.97
~jediwannabe~	~achievement_29~	73.52
~jediwannabe~	~achievement_9~	40.42
~jediwannabe~	~achievement_23~	92.30
~jediwannabe~	~achievement_24~	62.84
~jediwannabe~	~achievement_26~	62.80
~jediwannabe~	~achievement_46~	92.10
~jediwannabe~	~achievement_3~	34.55
~jediwannabe~	~achievement_45~	67.78
~jediwannabe~	~achievement_48~	40.83
~jediwannabe~	~achievement_47~	88.05
~jediwannabe~	~achievement_8~	78.17
~jediwannabe~	~achievement_32~	36.07
~jediwannabe~	~achievement_33~	13.28
~jediwannabe~	~achievement_30~	59.54
~jediwannabe~	~achievement_31~	32.57
~jediwannabe~	~achievement_18~	81.02
~jediwannabe~	~achievement_19~	78.95
~jediwannabe~	~achievement_16~	55.41
~jediwannabe~	~achievement_17~	86.32
~jediwannabe~	~achievement_15~	49.44
~jediwannabe~	~achievement_12~	61.19
~jediwannabe~	~achievement_36~	77.80
~jediwannabe~	~achievement_35~	67.26
~jediwannabe~	~achievement_34~	49.23
~jediwannabe~	~achievement_39~	94.00
~jediwannabe~	~new_achievement_3_29~	82.15
~jediwannabe~	~new_achievement_3_8~	52.46
~jediwannabe~	~new_achievement_3_9~	46.08
~jediwannabe~	~new_achievement_4_6~	50.75
~jediwannabe~	~new_achievement_4_8~	79.35
~jediwannabe~	~new_achievement_3_4~	88.55
~jediwannabe~	~new_achievement_4_7~	46.13
~jediwannabe~	~new_achievement_3_5~	83.90
~jediwannabe~	~new_achievement_3_6~	73.09
~jediwannabe~	~new_achievement_4_9~	72.93
~jediwannabe~	~new_achievement_3_7~	62.80
~jediwannabe~	~new_achievement_4_13~	64.68
~jediwannabe~	~new_achievement_4_12~	83.20
~jediwannabe~	~new_achievement_4_11~	50.23
~jediwannabe~	~new_achievement_4_10~	82.55
~jediwannabe~	~new_achievement_4_2~	81.52
~jediwannabe~	~new_achievement_4_14~	48.94
~jediwannabe~	~new_achievement_3_26~	56.42
~jediwannabe~	~new_achievement_3_14~	32.41
~jediwannabe~	~new_achievement_3_10~	44.24
~jediwannabe~	~new_achievement_3_11~	42.89
~jediwannabe~	~new_achievement_3_12~	37.08
~jediwannabe~	~ach_unlock_50~	4.98
~jediwannabe~	~ach_stars_400~	3.56
~jediwannabe~	~ach_triple_gold_10~	4.41
~jediwannabe~	~ach_inventor_10~	38.77
~jediwannabe~	~ach_triple_gold_1~	44.40
~jediwannabe~	~ach_flying_gold~	2.51
~jediwannabe~	~ach_stars_100~	23.32
~jediwannabe~	~ach_time_50~	2.62
~jediwannabe~	~ach_time_10~	4.60
~jediwannabe~	~ach_flying_bronze~	2.71
~jediwannabe~	~ach_music_gold~	2.53
~jediwannabe~	~ach_stars_800~	2.47
~jediwannabe~	~ach_stars_200~	8.61
~jediwannabe~	~ach_moves_50~	2.75
~jediwannabe~	~ach_moves_10~	5.63
~jediwannabe~	~ach_inventor_50~	3.54
~jediwannabe~	~ach_music_bronze~	2.75
~jediwannabe~	~nether~	72.20
~jediwannabe~	~long_fall~	7.28
~jediwannabe~	~chain_100~	48.78
~jediwannabe~	~leaderboard_entry~	53.84
~jediwannabe~	~miss_extender~	64.79
~jediwannabe~	~gold_star~	72.11
~jediwannabe~	~threesome~	83.19
~jediwannabe~	~two_birds_with_one_stone~	86.00
~jediwannabe~	~for_the_record~	58.77
~jediwannabe~	~back_in_the_saddle~	85.09
~jediwannabe~	~look_ma_two_hands~	26.08
~jediwannabe~	~desperate_times~	62.51
~jediwannabe~	~the_harder_they_fall~	59.41
~jediwannabe~	~out_of_the_frying_pan~	59.96
~jediwannabe~	~houston_we_have_a_problem~	61.43
~jediwannabe~	~it_goes_to_eleven~	30.05
~jediwannabe~	~tagem_and_bagem~	73.32
~jediwannabe~	~some_like_it_hot~	72.12
~jediwannabe~	~royal_with_cheese~	70.61
~jediwannabe~	~cold_shoulder~	78.39
~jediwannabe~	~the_pawn~	60.29
~jediwannabe~	~unnecessary_roughness~	55.04
~jediwannabe~	~ten_plus_foot_mobiles~	73.42
~jediwannabe~	~charlie_on_our_six~	48.17
~jediwannabe~	~danger_close~	81.19
~jediwannabe~	~hotel_bravo~	56.39
~jediwannabe~	~soap_on_a_rope~	64.50
~jediwannabe~	~028~	33.07
~jediwannabe~	~027~	26.68
~jediwannabe~	~035~	31.27
~jediwannabe~	~023~	47.24
~jediwannabe~	~012~	16.85
~jediwannabe~	~003~	12.94
~jediwannabe~	~013~	36.77
~jediwannabe~	~001~	39.15
~jediwannabe~	~016~	26.79
~jediwannabe~	~008~	32.35
~jediwannabe~	~018~	11.16
~jediwannabe~	~019~	16.21
~jediwannabe~	~011~	35.15
~jediwannabe~	~010~	11.21
~jediwannabe~	~ep2_beat_racewithdog~	26.19
~jediwannabe~	~ep2_beat_hunterambush~	60.75
~jediwannabe~	~ep2_beat_rocketcachepuzzle~	47.58
~jediwannabe~	~ep2_beat_antlioninvasion~	68.96
~jediwannabe~	~ep2_beat_game~	48.98
~jediwannabe~	~ep2_beat_whiteforestinn~	58.56
~jediwannabe~	~ep2_find_allradarcaches~	35.92
~jediwannabe~	~ep2_beat_antlionguards~	62.54
~jediwannabe~	~ep2_kill_combinecannon~	59.34
~jediwannabe~	~ep2_kill_poisonantlion~	76.25
~jediwannabe~	~ep2_beat_missilesilo2~	57.56
~jediwannabe~	~achievement4~	25.25
~jediwannabe~	~achievement5~	26.56
~jediwannabe~	~achievement6~	29.30
~jediwannabe~	~achievement7~	28.37
~jediwannabe~	~achievement10~	26.70
~jediwannabe~	~achievement1~	53.13
~jediwannabe~	~achievement12~	26.31
~jediwannabe~	~achievement2~	37.58
~jediwannabe~	~achievement3~	73.65
~jediwannabe~	~achievement8~	28.73
~jediwannabe~	~achievement9~	26.96
~jediwannabe~	~achievement_0~	50.32
~jediwannabe~	~ach.hi_five_your_partner~	48.79
~jediwannabe~	~ach.laser~	70.16
~jediwannabe~	~ach.trivial_test~	51.53
~jediwannabe~	~ach.team_building~	41.00
~jediwannabe~	~ach.bridge~	64.66
~jediwannabe~	~ach.wheatley_tries_to~	48.64
~jediwannabe~	~ach.reenter_test_chambers~	36.49
~jediwannabe~	~ach.wake_up~	71.16
~jediwannabe~	~ach.survive_container_ride~	75.42
~jediwannabe~	~ach.mass_and_velocity~	34.39
~jediwannabe~	~ach.shoot_the_moon~	48.14
~jediwannabe~	~ach.white_gel~	52.70
~jediwannabe~	~ach.addicted_to_spuds~	55.14
~jediwannabe~	~ach.stalemate_associate~	59.09
~jediwannabe~	~ach.break_out~	59.83
~jediwannabe~	~ach.box_hole_in_one~	32.78
~jediwannabe~	~ach.blue_gel~	56.92
~jediwannabe~	~ach.orange_gel~	53.90
~jediwannabe~	~ach.tractor_beam~	49.41
~jediwannabe~	~ach_29~	49.88
~jediwannabe~	~ach_28~	53.29
~jediwannabe~	~ach_27~	59.16
~jediwannabe~	~ach_26~	72.54
~jediwannabe~	~ach_25~	83.10
~jediwannabe~	~ach_22~	35.43
~jediwannabe~	~ach_20~	66.75
~jediwannabe~	~ach_40~	35.93
~jediwannabe~	~ach_34~	39.40
~jediwannabe~	~ach_1~	55.59
~jediwannabe~	~ach_33~	41.80
~jediwannabe~	~ach_36~	43.57
~jediwannabe~	~ach_35~	37.71
~jediwannabe~	~ach_38~	32.40
~jediwannabe~	~ach_37~	18.99
~jediwannabe~	~ach_11~	56.66
~jediwannabe~	~ach_14~	7.88
~jediwannabe~	~ach_10~	35.35
~jediwannabe~	~ach_7~	35.67
~jediwannabe~	~ach_30~	53.48
~jediwannabe~	~ach_32~	47.45
~jediwannabe~	~ach_3~	21.59
~jediwannabe~	~ach_31~	45.36
~jediwannabe~	~ach_2~	31.00
~jediwannabe~	~ach_max_bloodroses_t0~	5.87
~jediwannabe~	~ach_miscmvp~	17.86
~jediwannabe~	~achievement1~	75.23
~jediwannabe~	~vive_la_revolution~	60.79
~jediwannabe~	~back_in_the_fight~	86.29
~jediwannabe~	~frequent_flier~	71.71
~jediwannabe~	~well_always_have_paris~	61.86
~jediwannabe~	~requiem~	60.25
~jediwannabe~	~back_seat_driver~	62.82
~jediwannabe~	~carpe_diem~	73.50
~jediwannabe~	~up_to_no_good~	69.86
~jediwannabe~	~welcome_to_ww3~	65.74
~jediwannabe~	~wet_work~	76.15
~jediwannabe~	~sandstorm~	64.39
~jediwannabe~	~too_big_to_fail~	78.89
~jediwannabe~	~storm_the_castle~	59.18
~jediwannabe~	~one_way_ticket~	68.07
~jediwannabe~	~com.telltalegames.walkingdead103.ch.03~	46.26
~jediwannabe~	~com.telltalegames.walkingdead103.ch.02~	47.42
~jediwannabe~	~com.telltalegames.walkingdead103.ch.05~	44.70
~jediwannabe~	~com.telltalegames.walkingdead103.ch.04~	45.97
~jediwannabe~	~com.telltalegames.walkingdead104.ch.01~	37.55
~jediwannabe~	~com.telltalegames.walkingdead104.ch.02~	36.26
~jediwannabe~	~com.telltalegames.walkingdead104.ch.03~	35.59
~jediwannabe~	~com.telltalegames.walkingdead103.ch.01~	47.66
~jediwannabe~	~com.telltalegames.walkingdead104.ch.04~	35.40
~jediwannabe~	~com.telltalegames.walkingdead104.ch.05~	34.95
~jediwannabe~	~com.telltalegames.walkingdead104.ch.06~	34.01
~jediwannabe~	~com.telltalegames.walkingdead104.ch.07~	33.91
~jediwannabe~	~com.telltalegames.walkingdead104.ch.08~	33.86
~jediwannabe~	~com.telltalegames.walkingdead103.ch.07~	42.37
~jediwannabe~	~com.telltalegames.walkingdead103.ch.06~	43.90
~jediwannabe~	~com.telltalegames.walkingdead103.ch.08~	42.33
~jediwannabe~	~com.telltalegames.walkingdead101.ch.06~	68.80
~jediwannabe~	~com.telltalegames.walkingdead101.ch.07~	68.43
~jediwannabe~	~com.telltalegames.walkingdead101.ch.04~	77.58
~jediwannabe~	~com.telltalegames.walkingdead101.ch.05~	70.21
~jediwannabe~	~com.telltalegames.walkingdead101.ch.02~	82.90
~jediwannabe~	~com.telltalegames.walkingdead101.ch.03~	81.73
~jediwannabe~	~com.telltalegames.walkingdead101.ch.01~	85.81
~jediwannabe~	~com.telltalegames.walkingdead105.ch.08~	15.32
~jediwannabe~	~com.telltalegames.walkingdead105.ch.06~	21.48
~jediwannabe~	~com.telltalegames.walkingdead105.ch.07~	21.45
~jediwannabe~	~com.telltalegames.walkingdead105.ch.04~	21.76
~jediwannabe~	~com.telltalegames.walkingdead105.ch.05~	21.65
~jediwannabe~	~com.telltalegames.walkingdead105.ch.02~	22.24
~jediwannabe~	~com.telltalegames.walkingdead105.ch.03~	22.07
~jediwannabe~	~com.telltalegames.walkingdead105.ch.01~	22.66
~jediwannabe~	~com.telltalegames.walkingdead101.episodecomplete~	67.82
~jediwannabe~	~com.telltalegames.walkingdead102.ch.08~	53.07
~jediwannabe~	~com.telltalegames.walkingdead102.ch.07~	53.09
~jediwannabe~	~com.telltalegames.walkingdead102.ch.04~	54.00
~jediwannabe~	~com.telltalegames.walkingdead102.ch.03~	55.70
~jediwannabe~	~com.telltalegames.walkingdead102.ch.06~	53.56
~jediwannabe~	~com.telltalegames.walkingdead102.ch.05~	53.85
~jediwannabe~	~com.telltalegames.walkingdead102.ch.02~	59.48
~jediwannabe~	~com.telltalegames.walkingdead102.ch.01~	61.04
~jediwannabe~	~tf_get_consecutivekills_nodeaths~	44.09
~jediwannabe~	~eagle_eyes~	32.98
~jediwannabe~	~aint_afraid~	47.03
~jediwannabe~	~diplomatic~	23.00
~jediwannabe~	~achieve_11_defeat10enemieswithoutbeinghit~	57.77
~jediwannabe~	~achieve_02_completeact2~	23.02
~jediwannabe~	~achieve_01_completeact1~	36.86
~jediwannabe~	~achieve_10_die9times~	27.19
~jediwannabe~	~achieve_07_purchaseallblades~	29.34
~jediwannabe~	~achieve_12_perchandthrowaenemy~	27.60
~jediwannabe~	~ach_honk_a_clowns_nose~	16.18
~jediwannabe~	~ach_deploy_ammo_upgrade~	51.16
~jediwannabe~	~ach_kill_with_every_melee~	24.13
~jediwannabe~	~ach_bile_a_tank~	35.80
~jediwannabe~	~ach_kill_every_uncommon_infected~	41.11
~jediwannabe~	~ach_save_player_from_jockey_fast~	54.93
~jediwannabe~	~ach_kill_spitter_fast~	58.98
~jediwannabe~	~ach_survive_bridge~	21.89
~jediwannabe~	~ach_ignite_infected_fire_ammo~	29.57
~jediwannabe~	~ach_survive_road~	27.22
~jediwannabe~	~ach_survive_town~	24.47
~jediwannabe~	~ach_kill_tank_melee_only~	9.05
~jediwannabe~	~ach_survive_mall~	37.56
~jediwannabe~	~ach_stash_whacker~	11.22
~jediwannabe~	~ach_strongman_game~	9.46
~jediwannabe~	~ach_kill_infected_with_chainsaw~	29.33
~jediwannabe~	~ach_survive_the_passing~	27.82
~jediwannabe~	~com.telltalegames.jurassicpark101.jp101_diloencounter~	56.28
~jediwannabe~	~com.telltalegames.jurassicpark101.jp101_welcometojp~	81.59
~jediwannabe~	~com.telltalegames.jurassicpark101.jp101_enterpark~	70.09
~jediwannabe~	~dead presidents~	70.66
~jediwannabe~	~the welcome wagon~	68.40
~jediwannabe~	~trophy_500~	79.83
~Shredon~	~complete_tutorial_level~	81.83
~Shredon~	~ach_gold_no_overfill~	72.86
~Shredon~	~ach_ppm_low~	70.58
~Shredon~	~kid_gift_1~	6.48
~Shredon~	~ach_char_ogmo~	8.80
~Shredon~	~ach_char_cv~	43.87
~Shredon~	~ach_warp_1~	61.90
~Shredon~	~ach_char_jill~	19.74
~Shredon~	~asw_stun_grenade~	11.31
~Shredon~	~asw_para_hat~	47.60
~Shredon~	~asw_easy_campaign~	21.30
~Shredon~	~asw_boomer_kill_early~	41.63
~Shredon~	~asw_ammo_resupply~	7.87
~Shredon~	~asw_shieldbug~	36.72
~Shredon~	~asw_normal_campaign~	16.86
~Shredon~	~asw_group_damage_amp~	6.90
~Shredon~	~asw_protect_tech~	34.72
~Shredon~	~asw_kill_without_friendly_fire~	28.67
~Shredon~	~asw_tech_survives~	48.85
~Shredon~	~asw_kill_grind_1~	23.85
~Shredon~	~asw_no_friendly_fire~	10.52
~Shredon~	~asw_prifle_kills~	11.99
~Shredon~	~asw_mission_no_deaths~	31.48
~Shredon~	~asw_vindicator_kills~	8.95
~Shredon~	~asw_dodge_ranger_shot~	25.43
