Game	Achievement	Rate
111600	|ach_getting_serious|	9.43
111600	|ach_timeline_correction|	6.89
111600	|ach_man_with_golden_guns|	3.15
111600	|ach_lumberjack_sam|	2.75
111600	|ach_seriously_nuts|	1.93
111600	|ach_templetons_buddy|	3.67
111600	|ach_laura_who|	1.74
111600	|ach_quick_not_so_dead|	2.95
111600	|ach_gun_collector|	9.79
111600	|ach_gun_aficionado|	1.63
111600	|ach_dino_best_friend|	14.02
111400	|ach_harvester|	8.82
111400	|ach_nurse|	0.42
111400	|ach_space_harrier|	7.01
111400	|ach_back_in_pain|	3.42
111400	|ach_afraid_of_light|	3.21
111400	|ach_holiday_survivors|	15.44
111400	|ach_immortal|	11.31
111400	|ach_combo_expert|	30.86
111400	|ach_duster_master|	1.39
111400	|ach_ultra_master|	0.59
111400	|ach_shield_breaker|	0.72
111400	|ach_boxer|	0.75
111400	|ach_royal_flush|	0.81
111400	|ach_stuntman|	0.49
111400	|ach_weapon_collector|	0.47
111400	|ach_best_friend|	3.39
111400	|ach_cat_reflexes|	1.05
111400	|ach_killer_instinct|	4.54
111400	|ach_raccoon_city|	4.34
111400	|ach_chaser|	0.44
111400	|ach_tri_force|	0.66
111400	|ach_kfc|	0.48
111400	|ach_close_encounter|	0.45
111400	|ach_dynamic_duo|	1.69
111400	|ach_pumpkin_pie|	3.90
111400	|ach_nightmare|	4.16
111400	|ach_highscore_master|	0.42
111400	|ach_supermarket_night_watch|	0.50
111400	|ach_happy_halloween|	4.20
111400	|ach_lazy_shooter|	0.56
111400	|ach_ninja_squad|	3.57
111400	|ach_recruiter|	1.17
111400	|ach_keep_them_coming|	11.68
111400	|ach_fantastic_four|	0.51
111400	|ach_mars_invader|	0.43
111400	|ach_chernobil|	0.98
111400	|ach_premature_death|	4.79
111400	|ach_clay_shooter|	0.48
111400	|ach_team_player|	1.81
111400	|ach_untouchable|	0.69
111400	|ach_grave_digger|	3.20
111400	|ach_flawless_victory|	5.82
111400	|ach_close_casket|	0.46
111400	|ach_all_by_my_self|	4.88
111400	|ach_girls_hero|	0.65
111400	|ach_zombieraser|	0.45
111400	|ach_wtf|	1.90
111400	|ach_kill_200_martian_tank|	0.68
111400	|ach_combo_master|	16.09
111400	|ach_combo_enthusiast|	46.10
111400	|ach_cold_blooded|	1.88
111400	|ach_daredevil|	0.44
111400	|ach_earths_hero|	0.94
111400	|ach_lucky_seven|	2.49
111400	|ach_ammo_waster|	0.54
111400	|ach_complete_mission_mars|	1.62
111400	|ach_kingslayer|	1.07
111400	|ach_running_with_scissors|	0.63
90530	|perfect_game|	12.89
90530	|bfg_immortal_killer_ii|	0.11
90530	|they_had_families|	0.03
90530	|victory_i|	0.00
90530	|miser|	12.23
90530	|bfg_supporter_i|	0.10
90530	|double_kill|	0.03
90530	|bfg_vision_totem_killer_i|	0.08
90530	|culling_the_herd|	0.03
90530	|triple_bot_killer|	13.65
90530	|bfg_neut_killer_ii|	0.10
90530	|immortal_killer|	11.84
90530	|rick_rolled|	13.52
90530	|structure_devastator|	12.88
90530	|trick_not_treat|	10.48
90530	|bfg_gold_digger_i|	0.10
90530	|refer_10_friends|	10.53
90530	|mega_shmegas|	5.29
90530	|bfg_gold_digger_ii|	0.10
90530	|bfg_immortal_killer_i|	0.11
90530	|bfg_neut_killer_i|	0.17
90530	|obsidian_destruction|	0.00
90530	|bfg_vision_totem_killer_ii|	0.09
90530	|hastened_victory|	4.95
90530	|bfg_immortal_killer_iii|	0.11
90530	|king_killer|	22.00
90530	|jeepers_creepers|	0.03
90530	|monster_hunter|	3.50
90530	|carrying_the_team|	0.03
90530	|supporter|	48.81
90530	|refer_2_friends|	10.58
90530	|im_helping|	0.01
90530	|10_neuts|	0.00
90530	|quadra_killer|	11.28
90530	|demolition_specialist|	3.34
90530	|last_ditch_effort|	0.03
90530	|double_bot_killer|	19.01
90530	|bfg_supporter_ii|	0.09
90530	|obsidian_champion|	0.03
90530	|triple_killer|	13.01
90530	|20_assists|	14.92
90530	|victory_ii|	0.00
90530	|bulldozer|	3.76
90530	|halloween_map|	11.22
90530	|bfg_vison_totem_killer_i|	0.01
90530	|kill_is_secured|	0.02
90530	|thriller_dance|	10.55
90530	|mega_feat|	3.12
90530	|monster_bash|	10.94
90530	|the_me_in_team|	0.01
90530	|opening_shot|	15.30
90530	|crystalline_champion|	0.03
90530	|cutting_it_close|	0.00
90530	|penta_killer|	10.72
90530	|bread_winner|	0.01
90530	|bfg_creep_killer_ii|	0.10
90530	|nowhere_to_hide|	0.02
90530	|double_killer|	18.78
90530	|creep_killer|	24.21
90530	|me_in_team|	3.05
90530	|double_down|	0.02
90530	|shrine_destroyer|	18.05
90530	|monster_slayer|	3.18
90530	|bfg_creep_killer_i|	0.10
90530	|signature_annihilation|	0.02
90530	|gold_digger|	32.70
90530	|sight_blinder|	0.01
90530	|buff_up|	0.01
90530	|won_the_war|	0.00
90530	|structure_destroyer|	20.37
90530	|bfg_supporter_iii|	0.09
90530	|crystalline_might|	0.00
90530	|tomb_raider|	21.44
90530	|100_neuts|	0.00
90530	|one_down|	0.03
90530	|open_season|	0.03
90530	|unchallenged_victory|	0.00
90530	|first_blood|	0.03
90530	|bot_killer|	14.26
90530	|hurried_victory|	0.00
90530	|ghost_buster|	11.12
90530	|might_over_megas|	3.21
90530	|won_the_battle|	0.00
90530	|penta_kill|	0.03
90530	|i_got_your_back|	0.01
730	|gun_game_kill_knifer|	24.86
730	|win_map_de_sugarcane|	9.78
730	|win_map_de_inferno|	2.53
730	|win_pistolrounds_high|	0.41
730	|kill_enemy_galilar|	0.83
730	|kill_enemy_scar17|	0.00
730	|bomb_defuse_close_call|	5.27
730	|kill_enemy_xm1014|	0.71
730	|kill_sniper_with_sniper|	38.83
730	|kill_enemy_molotov|	0.39
730	|kill_enemy_hegrenade|	0.51
730	|grenade_multikill|	0.79
730	|win_map_ar_shoots|	9.23
730	|win_bomb_plant_after_recovery|	10.13
730	|gun_game_smg_kill_knifer|	8.50
730	|kill_enemy_sawedoff|	3.76
730	|kill_enemies_while_blind_hard|	4.29
730	|kill_enemy_scar20|	1.23
730	|kill_while_in_air|	22.11
730	|fast_hostage_rescue|	6.55
730	|win_map_de_port|	0.00
730	|kill_enemy_mp7|	0.63
730	|immovable_object|	37.61
730	|kill_enemy_mp9|	1.93
730	|kill_enemy_reloading|	59.80
730	|kill_enemy_usp|	0.00
730	|win_map_de_dust|	3.89
730	|last_player_alive|	39.30
730	|win_knife_fights_high|	0.46
730	|kill_enemy_low|	57.80
730	|cause_friendly_fire_with_flashbang|	2.76
730	|kill_enemy_deagle|	4.36
730	|lossless_extermination|	50.00
730	|gun_game_first_kill|	29.82
730	|hip_shot|	32.38
730	|kill_with_own_gun|	8.79
730	|kill_bomb_defuser|	17.60
730	|revenges_high|	2.49
730	|revenges_low|	31.03
730	|win_map_cs_militia|	0.00
730	|concurrent_dominations|	17.20
730	|kill_with_every_weapon|	5.71
730	|win_gun_game_rounds_ultimate|	0.23
730	|win_map_de_prodigy|	0.00
730	|gun_game_rounds_med|	0.35
730	|kill_enemy_m249|	1.20
730	|goose_chase|	1.51
730	|kill_enemy_tmp|	0.00
730	|kill_enemy_galil|	0.00
730	|gun_game_knife_kill_knifer|	6.37
730	|kill_enemy_p250|	6.99
730	|win_rounds_without_buying|	8.46
730	|kill_enemy_hkp2000|	3.29
730	|win_rounds_low|	56.49
730	|bomb_defuse_low|	0.52
730	|kill_enemy_famas|	2.82
730	|gun_game_rampage|	0.89
730	|win_rounds_high|	0.35
730	|kill_enemy_p90|	0.75
730	|kill_enemy_bizon|	0.68
730	|kill_sniper_with_knife|	7.81
730	|kill_enemy_m3|	0.00
730	|win_map_de_chateau|	0.00
730	|bomb_plant_in_25_seconds|	14.28
730	|tr_bomb_plant_low|	8.12
730	|unstoppable_force|	49.77
730	|kill_enemy_high|	0.60
730	|win_pistolrounds_med|	4.89
730	|bomb_defuse_needed_kit|	0.11
730	|meta_shotgun|	0.68
730	|rescue_all_hostages|	10.07
730	|domination_overkills_high|	2.22
730	|win_every_gungame_map|	1.54
730	|win_map_de_stmarc|	11.20
730	|killed_defuser_with_grenade|	0.79
730	|win_map_de_tides|	0.00
730	|tr_bomb_defuse_low|	3.52
730	|win_map_cs_compound|	0.00
730	|kills_with_multiple_guns|	13.59
730	|win_bomb_defuse|	38.05
730	|win_gun_game_rounds_high|	0.35
730	|bloodless_victory|	3.62
730	|medalist|	1.00
730	|gun_game_select_suicide_with_knife|	0.07
730	|win_dual_duel|	10.27
730	|kill_enemy_ump45|	0.64
730	|win_gun_game_rounds_extreme|	0.23
730	|win_map_cs_assault|	0.00
730	|break_props|	0.09
730	|rescue_hostages_med|	0.27
730	|avenge_friend|	30.46
730	|still_alive|	17.76
730	|kill_when_at_low_health|	34.57
730	|domination_overkills_low|	35.66
730	|kill_enemy_p228|	0.00
730	|win_rounds_med|	18.03
730	|killing_spree|	34.02
730	|meta_smg|	0.42
730	|dead_grenade_kill|	7.15
730	|earn_money_med|	7.31
730	|win_map_de_bank|	13.11
730	|win_map_de_piranesi|	0.00
730	|domination_overkills_match|	4.74
730	|kill_enemy_aug|	0.82
730	|base_scamper|	35.24
730	|damage_no_kill|	47.52
730	|gun_game_rounds_high|	0.23
730	|gun_game_target_secured|	4.61
730	|born_ready|	33.24
730	|win_bomb_plant|	31.89
730	|break_windows|	3.14
730	|give_damage_high|	1.04
730	|bomb_plant_low|	2.84
730	|kill_enemy_scout|	0.00
730	|give_damage_med|	26.09
730	|earn_money_low|	52.27
730	|win_map_cs_havana|	0.00
730	|gun_game_rounds_low|	2.76
730	|gun_game_first_thing_first|	4.85
730	|kill_enemy_last_bullet|	49.93
730	|kill_enemies_while_blind|	29.98
730	|kill_hostage_rescuer|	15.01
730	|win_gun_game_rounds_low|	32.69
730	|win_knife_fights_low|	19.35
730	|kill_enemy_blinded|	6.96
730	|kill_two_with_one_shot|	19.10
730	|win_map_ar_baggage|	9.15
730	|kill_enemy_med|	21.28
730	|pistol_round_knife_kill|	10.72
730	|kill_snipers|	5.82
730	|win_pistolrounds_low|	18.15
730	|kill_enemy_elite|	8.00
730	|survive_many_attacks|	2.85
730	|win_map_de_safehouse|	1.26
730	|win_map_de_aztec|	1.79
730	|kill_enemy_ak47|	1.85
730	|win_map_de_dust2|	7.68
730	|killing_spree_ender|	27.04
730	|survive_grenade|	7.57
730	|headshots_in_round|	23.15
730	|kill_enemy_negev|	1.96
730	|bomb_multikill|	0.54
730	|give_damage_low|	59.55
730	|kill_enemy_awp|	2.43
730	|kill_low_damage|	54.05
730	|rescue_hostages_low|	0.50
730	|kill_enemy_mag7|	4.03
730	|kill_enemy_knife|	1.70
730	|dominations_low|	40.68
730	|flawless_victory|	16.52
730	|defuse_defense|	7.34
730	|kill_bomb_pickup|	28.00
730	|fast_round_win|	41.74
730	|kill_enemy_mp5navy|	0.00
730	|win_gun_game_rounds_med|	2.13
730	|win_map_de_train|	2.05
730	|kill_enemy_m4a1|	1.12
730	|earn_money_high|	0.24
730	|win_map_de_nuke|	2.53
730	|meta_weaponmaster|	0.28
730	|headshots|	17.73
730	|gun_game_conservationist|	11.82
730	|win_map_de_lake|	14.07
730	|kill_enemy_in_air|	27.56
730	|kill_enemy_ssg08|	1.69
730	|dominations_high|	19.53
730	|extended_domination|	16.85
730	|kill_enemy_mac10|	1.63
730	|kill_enemy_taser|	2.15
730	|play_every_gungame_map|	5.51
730	|meta_pistol|	0.93
730	|kills_enemy_weapon|	5.77
730	|killer_and_enemy_in_air|	2.16
730	|win_map_de_embassy|	0.00
730	|donate_weapons|	1.91
730	|win_map_cs_italy|	1.74
730	|win_map_de_shorttrain|	9.82
730	|one_shot_one_kill|	13.36
730	|kill_enemy_nova|	2.39
730	|silent_win|	2.86
730	|kill_enemy_sg550|	0.00
730	|kill_enemy_sg552|	0.00
730	|kill_enemy_sg556|	2.11
730	|win_map_cs_office|	2.56
730	|kill_enemy_fiveseven|	5.72
730	|kill_enemy_glock|	2.76
730	|meta_rifle|	0.35
730	|survived_headshot_due_to_helmet|	0.14
730	|win_map_de_depot|	0.00
730	|kill_enemy_team|	31.88
730	|win_map_de_cbble|	0.00
730	|kill_enemy_g3sg1|	1.09
730	|kill_enemy_tec9|	1.13
48000	|ach_1|	36.59
48000	|ach_12|	0.33
48000	|ach_11|	31.56
48000	|ach_13|	1.20
48000	|ach_9|	7.56
48000	|ach_8|	14.10
48000	|ach_7|	13.92
48000	|ach_10|	4.36
48000	|ach_6|	3.59
48000	|ach_5|	20.71
48000	|ach_4|	13.38
48000	|ach_3|	3.43
48000	|ach_2|	47.62
92600	|award_achv_head_hunter|	0.81
92600	|award_achv_death_by_fire|	0.88
92600	|award_achv_deep_purple|	0.76
92600	|award_achv_aerial_dominator|	0.86
92600	|award_achv_scab_destroyer|	14.77
92600	|award_achv_essence_hunter|	72.08
92600	|award_achv_terraform_master|	81.06
92600	|award_achv_goal_obssessed|	0.75
92600	|award_achv_waste_not|	0.87
92600	|award_achv_quick_kill|	22.25
92600	|award_achv_no_time_to_heal|	1.07
92600	|award_achv_epic_champion|	0.80
92600	|award_achv_time_essence|	0.90
92600	|award_achv_scabs_behind|	0.85
92600	|award_achv_sweet_child_brain|	1.51
92600	|award_achv_invincible|	2.26
92600	|award_achv_mega_speed_kill|	0.94
92600	|award_achv_contagion|	1.66
92600	|award_achv_hologram_modder|	2.24
92600	|award_achv_brain_surgery|	0.86
92600	|award_achv_brain_freeze|	40.83
92600	|award_achv_terraform1|	84.11
92600	|award_achv_liberator|	3.20
92600	|award_achv_terraform3|	24.00
92600	|award_achv_terraform2|	74.99
92600	|award_achv_turret_foe|	13.52
92600	|award_achv_gravity_defying|	6.11
92600	|award_achv_cirque_du_exod|	37.87
92600	|award_achv_completionist|	0.78
92600	|award_achv_luck_of_the_exod|	0.84
92600	|award_achv_more_perfect|	0.94
92600	|award_achv_scab_collector|	2.71
92600	|award_achv_sky_is_the_limit|	1.98
92600	|award_achv_insane_brain|	0.83
92600	|award_achv_hologram_rider|	2.88
92600	|award_achv_bomb_blaster|	8.71
92600	|award_achv_airborne_killer|	1.74
92600	|award_achv_double_kill|	2.56
92600	|award_achv_exod_in_chains|	2.68
92600	|award_achv_aerial_artistry|	83.57
92600	|award_achv_green_thumb|	0.80
92600	|award_achv_jump_kill|	23.23
92600	|award_achv_brainiac|	80.53
92600	|award_achv_goal_oriented|	1.22
92600	|award_achv_sharp_shooter|	24.29
92600	|award_achv_defuser|	11.08
49400	|achievement_20|	8.18
49400	|achievement_11|	15.19
49400	|achievement_10|	2.72
49400	|achievement_21|	13.60
49400	|achievement_18|	19.05
49400	|achievement_19|	6.04
49400	|achievement_16|	8.67
49400	|achievement_9|	29.25
49400	|achievement_17|	6.86
49400	|achievement_14|	23.74
49400	|achievement_15|	18.85
49400	|achievement_12|	1.34
49400	|achievement_13|	36.67
49400	|achievement_3|	57.90
49400	|achievement_4|	76.21
49400	|achievement_1|	87.81
49400	|achievement_2|	66.14
49400	|achievement_7|	9.75
49400	|achievement_8|	51.58
49400	|achievement_5|	7.19
49400	|achievement_6|	27.14
15520	|achievement_4096|	0.55
15520	|achievement_128|	17.65
15520	|achievement_fives|	0.61
15520	|achievement_plates|	13.04
15520	|achievement_kisses|	7.91
15520	|achievement_sun|	17.30
15520	|achievement_points|	37.87
38720	|completeallhidden|	3.34
38720	|endlessloopeasy|	12.33
38720	|manycubesexited|	10.58
38720	|foundallhiddenlevels|	4.00
38720	|foundhiddenlevel|	5.12
38720	|completeallmedium|	20.11
38720	|winter|	2.39
38720	|endlessloopmedium|	10.54
38720	|longconveyorbelt|	2.71
38720	|creditsfullofsigns|	2.21
38720	|foundtokitori|	3.68
38720	|consecutivelevelfails|	25.04
38720	|multiplecollisions|	5.21
38720	|actualbest|	1.80
38720	|actualsolution|	5.43
38720	|completealleasy|	44.20
38720	|endlessloopwarp|	5.82
38720	|endlessloophard|	9.25
38720	|endlessloopconveyor|	12.14
38720	|founddifferentsolution|	57.43
38720	|completedsignsremaining|	19.29
38720	|completealltutorial|	79.11
38720	|endlesslooparrows|	9.50
38720	|solarflare|	15.19
38720	|completeallhard|	7.54
200190	|achievement_9|	1.10
200190	|achievement_0|	57.72
200190	|achievement_3|	5.90
200190	|achievement_4|	3.62
200190	|achievement_1|	16.40
200190	|achievement_2|	8.61
200190	|achievement_7|	4.37
200190	|achievement_8|	5.31
200190	|achievement_5|	1.01
200190	|achievement_6|	0.76
63200	|cm_kills_bouncer|	0.19
63200	|cm_kills_slim|	0.19
63200	|cm_build_shaveice|	0.21
63200	|kills_jetgun|	0.20
63200	|cm_build_rockit|	0.59
63200	|kills_sniper_rifle|	0.21
63200	|kills_assault_rifle|	0.22
63200	|cm_kills_jackbot|	0.20
63200	|hl_team_player|	17.23
63200	|ach_sacker|	14.49
63200	|hl_headcrab|	7.43
63200	|hl_alltimegreat|	0.20
63200	|ach_ringer|	18.88
63200	|ach_exhibitor|	24.92
63200	|cm_ejectorkills|	0.22
63200	|cm_ringouts|	0.55
63200	|hl_over9000|	2.26
63200	|pickup_bacon|	0.19
63200	|kills_healhurt_gun|	0.19
63200	|cm_kills_scrambler|	0.19
63200	|hl_allstar_sacker|	3.95
63200	|hl_groundzero|	6.12
63200	|ach_mvp|	13.21
63200	|ach_vet|	12.39
63200	|cm_kills_gapshot|	0.19
63200	|ach_pancake|	1.83
63200	|cm_build_lazer_blazer|	0.41
63200	|kills_minigun|	0.23
63200	|ach_triple|	6.79
63200	|hl_spin_n_juice|	2.22
63200	|cm_destroy_shaveice|	0.19
63200	|ach_nappin|	7.98
63200	|cm_destroy_rockit|	0.20
63200	|cm_kills_blackjack|	0.19
63200	|cm_kills_gremlin|	0.19
63200	|hl_overdose|	4.47
63200	|cm_destroy_longshot|	0.19
63200	|cm_kills_buzzer|	0.19
63200	|ach_kills_progress_lev3|	0.05
63200	|ach_elusive|	2.60
63200	|ach_kills_progress_lev2|	0.54
63200	|ach_kills_progress_lev1|	1.07
63200	|hl_i_got_candy|	21.70
63200	|hon_bayheimer|	3.78
63200	|ach_grappler|	8.45
63200	|cm_destroy_lazerblazer|	0.19
63200	|hl_strikeit_xl|	20.93
63200	|ach_allstar|	5.18
63200	|hl_humiliation|	1.38
63200	|kills_blade_kills|	0.19
63200	|hl_team_leader|	13.26
63200	|hl_rookie|	38.50
63200	|ach_killstreak|	23.62
72200	|new_achievement_1_1|	0.00
72200	|new_achievement_1_0|	0.00
72200	|start.10|	11.00
72200	|collision.earthsun|	28.51
72200	|start.1000|	0.24
72200	|start0|	0.00
72200	|time.year|	0.19
72200	|start2|	0.00
72200	|tutorial.5|	23.36
72200	|time.day|	1.43
72200	|start1|	0.00
72200	|freeze.earth|	56.08
72200	|start.100|	0.39
72200	|start.10000|	0.21
72200	|time.hour|	33.73
72200	|screenshot.100|	0.86
72200	|start3|	0.00
72200	|code.konami|	2.48
72200	|start4|	0.00
72200	|time.month|	0.22
72200	|time.minute|	91.60
72200	|code.hitchhiker|	1.79
72200	|start.1|	92.52
93200	|medal.exploded_500|	3.03
93200	|medal.tape_and_string|	4.06
93200	|medal.perfect_world|	20.11
93200	|medal.reckless|	20.28
93200	|medal.problem_for_grandchildren|	5.41
93200	|medal.toilet_break|	4.52
93200	|medal.jimll_fix_it|	3.74
93200	|medal.mars_boss|	3.78
93200	|medal.hoarded_$50000|	0.86
93200	|medal.crushed_100|	0.84
93200	|medal.dangerous_nutter|	0.79
93200	|medal.vanquished_1000|	16.95
93200	|medal.hoarded_$10000|	19.89
93200	|medal.saturn_complete|	1.55
93200	|medal.vanquished_2500|	7.32
93200	|medal.hoarded_50000|	0.01
93200	|medal.fried_500|	0.51
93200	|medal.crushed_50|	1.33
93200	|medal.fried_100|	1.64
93200	|medal.exploded_250|	5.29
93200	|medal.encyclopaedic|	0.54
93200	|medal.earth_complete|	20.79
93200	|medal.moon_complete|	9.86
93200	|medal.vanquished_5000|	2.36
93200	|medal.nuked_250|	0.82
93200	|medal.robot_wants_kitty|	1.66
93200	|medal.hoarded_$5000|	23.72
93200	|medal.vanquished_100|	45.53
93200	|medal.defensive_capability|	0.66
93200	|medal.exploded_100|	11.64
93200	|medal.awesome|	0.66
93200	|medal.fried_250|	0.73
93200	|medal.crushed_25|	2.16
93200	|medal.devious|	2.38
93200	|medal.only_way_to_be_sure|	4.69
93200	|medal.thrifty|	3.40
93200	|medal.careless|	35.78
93200	|medal.hoarded_$25000|	3.31
93200	|medal.earth_boss|	21.30
93200	|medal.mars_complete|	3.74
93200	|medal.propellerhead|	0.56
93200	|medal.nuked_100|	5.07
93200	|medal.xmas.victory|	18.94
93200	|medal.offensive_capability|	0.73
93200	|medal.titan_complete|	0.80
93200	|medal.negligent|	4.39
93200	|medal.titan_boss|	0.80
93200	|medal.hoarded_5000|	0.01
93200	|medal.rash|	21.26
93200	|medal.saturn_boss|	1.56
93200	|medal.batfink|	3.72
93200	|medal.skin_of_your_teeth|	0.49
93200	|medal.moon_boss|	10.10
93200	|rank.12|	0.51
93200	|rank.11|	0.62
93200	|rank.10|	0.84
93200	|medal.xmas.1|	17.55
93200	|rank.3|	32.67
93200	|medal.hoarded_10000|	0.02
93200	|medal.xmas.2|	11.71
93200	|rank.4|	26.84
93200	|rank.5|	23.56
93200	|medal.xmas.3|	9.32
93200	|rank.6|	20.01
93200	|medal.xmas.4|	7.44
93200	|rank.7|	23.36
93200	|medal.tight_fisted|	1.96
93200	|rank.8|	20.22
93200	|rank.9|	1.72
93200	|medal.short_tempered|	4.14
93200	|medal.perfect_game|	0.68
93200	|medal.nuked_50|	12.77
93200	|medal.phew_that_was_close|	8.75
93200	|medal.vanquished_10000|	0.67
93200	|medal.vanquished_250|	39.31
93200	|medal.spear_and_magic_helmet|	0.69
93200	|medal.vanquished_500|	27.39
93200	|medal.hoarded_25000|	0.01
93200	|medal.short_arms_deep_pockets|	15.08
93200	|rank.2|	45.45
93200	|rank.1|	45.12
92000	|my hero|	49.45
92000	|honour|	21.18
92000	|celebrated|	0.31
92000	|chain gang|	35.17
92000	|davy jones locker|	21.51
92000	|tinker|	72.38
92000	|private eye|	0.35
92000	|vengence|	31.95
92000	|survivor|	14.63
92000	|swept off their feet|	5.65
92000	|challenged|	1.59
92000	|drowned|	43.48
92000	|shrimp|	21.34
19200	|ac_26|	9.20
19200	|ac_27|	2.26
19200	|ac_09|	37.73
19200	|ac_08|	9.30
19200	|ac_05|	26.60
19200	|ac_04|	2.26
19200	|ac_07|	17.69
19200	|ac_06|	18.99
19200	|ac_11|	4.52
19200	|ac_12|	16.75
19200	|ac_13|	6.80
19200	|ac_14|	7.70
19200	|ac_10|	3.36
19200	|achievement_1|	0.00
19200	|ac_17|	20.98
19200	|ac_18|	18.39
19200	|ac_15|	62.03
19200	|ac_16|	38.55
19200	|ac_19|	15.20
19200	|ac_02|	15.63
19200	|ac_03|	13.72
19200	|ac_01|	21.79
19200	|ac_21|	11.11
19200	|ac_20|	12.02
19200	|ac_25|	4.25
19200	|api_snacktime|	0.00
19200	|ac_24|	5.27
19200	|ac_23|	7.82
19200	|ac_22|	9.91
113420	|achievement_129|	0.19
113420	|achievement_128|	0.43
113420	|achievement_127|	0.19
113420	|achievement_40|	2.95
113420	|achievement_126|	0.22
113420	|achievement_125|	0.41
113420	|achievement_41|	1.33
113420	|achievement_124|	1.29
113420	|achievement_42|	0.82
113420	|achievement_43|	1.05
113420	|achievement_123|	0.10
113420	|achievement_44|	0.49
113420	|achievement_339|	0.67
113420	|achievement_122|	0.29
113420	|achievement_338|	0.17
113420	|achievement_337|	0.27
113420	|achievement_336|	0.03
113420	|achievement_335|	0.04
113420	|achievement_334|	0.11
113420	|achievement_333|	0.05
113420	|achievement_332|	0.07
113420	|achievement_331|	0.05
113420	|achievement_535|	0.03
113420	|achievement_340|	0.17
113420	|achievement_536|	0.03
113420	|achievement_341|	0.28
113420	|achievement_533|	0.04
113420	|achievement_534|	0.04
113420	|achievement_531|	0.10
113420	|achievement_532|	0.05
113420	|achievement_530|	0.11
113420	|achievement_131|	0.04
113420	|achievement_46|	0.37
113420	|achievement_45|	0.41
113420	|achievement_132|	0.08
113420	|achievement_48|	0.10
113420	|achievement_47|	0.26
113420	|achievement_130|	0.13
113420	|achievement_539|	0.72
113420	|achievement_49|	0.05
113420	|achievement_537|	0.03
113420	|achievement_538|	0.03
113420	|achievement_138|	0.05
113420	|achievement_137|	0.07
113420	|achievement_139|	0.05
113420	|achievement_134|	0.15
113420	|achievement_33|	1.56
113420	|achievement_133|	0.11
113420	|achievement_30|	0.37
113420	|achievement_136|	0.08
113420	|achievement_31|	3.03
113420	|achievement_135|	0.09
113420	|achievement_325|	0.10
113420	|achievement_324|	0.09
113420	|achievement_321|	0.05
113420	|achievement_320|	0.14
113420	|achievement_323|	0.04
113420	|achievement_322|	0.17
113420	|achievement_522|	0.11
113420	|achievement_523|	0.11
113420	|achievement_524|	0.07
113420	|achievement_525|	0.05
113420	|achievement_330|	0.08
113420	|achievement_520|	0.31
113420	|achievement_521|	0.14
113420	|achievement_140|	0.04
113420	|achievement_37|	0.21
113420	|achievement_141|	0.05
